Category:,Congress,Bill Type,Bill Number,Vote Position
passage,118,hr,8771,Yea
passage,118,hr,8752,Yea
passage-suspension,118,hr,6543,Yea
passage,118,hres,1316,Yea
passage-suspension,118,hr,2789,Yea
passage-suspension,118,hr,2964,Yea
passage,118,hr,8580,Yea
passage-suspension,118,s,138,Yea
passage,118,hr,7700,Yea
passage,118,hr,8774,Yea
passage-suspension,118,hr,897,Yea
passage,118,hres,1344,Yea
passage,118,hjres,165,Yea
passage-suspension,118,hr,5441,Yea
veto-override,118,hjres,109,Yea
passage,118,hr,8772,Yea
passage,118,hr,8282,Yea
passage-suspension,118,hres,901,Yea
passage-suspension,118,hr,7152,Yea
passage,118,hres,1292,Yea
passage-suspension,118,hr,6983,Yea
passage,118,hr,7637,Yea
passage-suspension,119,hr,43,Yea
passage,119,hr,30,Yea
passage-suspension,119,hr,153,Yea
passage-suspension,119,hr,187,Yea
passage,119,hr,35,Yea
passage-suspension,119,hr,186,Yea
passage,119,hr,21,Yea
passage-suspension,119,hr,776,Yea
passage,119,hres,5,Yea
passage,119,hr,27,Yea
passage,119,hr,26,Yea
passage-suspension,119,hr,164,Yea
passage-suspension,119,hr,144,Yea
passage-suspension,119,hr,165,Yea
passage,119,hr,471,Yea
passage-suspension,119,hr,375,Yea
passage,119,s,5,Yea
passage,119,hr,33,Yea
passage,119,hr,28,Yea
passage,119,hr,77,Yea
passage,119,hr,29,Yea
passage-suspension,119,hr,192,Yea
passage-suspension,119,hr,152,Yea
passage,119,hr,23,Yea
passage-suspension,119,hr,736,Yea
passage-suspension,119,hr,692,Yea
